x,y,Bx,By,B_total,phi_deg
1,5,-9.50,15.62,18.28,121.3
2,5,58.61,18.42,61.43,17.4
3,5,37.60,68.00,77.70,61.1
4,5,91.11,57.94,107.97,32.5
5,5,36.63,38.42,53.09,46.4
6,5,-78.49,-70.89,105.76,-137.9
7,5,-3.22,-34.53,34.68,-95.3
8,5,-58.45,-49.88,76.83,-139.5
9,5,-25.74,36.77,44.88,125.0
10,5,75.75,9.01,76.29,6.8
11,5,32.09,-68.96,76.06,-65.0
12,5,-34.73,-8.78,35.82,-165.8
13,5,-50.46,-73.95,89.52,-124.3
14,5,1.86,-1.80,2.59,-44.0
15,5,-60.62,-81.81,101.82,-126.5
16,5,-33.37,27.49,43.23,140.5
17,5,15.76,20.03,25.48,51.8
18,5,57.89,96.59,112.61,59.1
19,5,30.52,43.63,53.24,55.0
20,5,-114.54,-19.88,116.25,-170.2
21,5,15.19,42.17,44.82,70.2
22,5,3.52,-68.65,68.74,-87.1
23,5,20.56,-46.94,51.24,-66.3
24,5,80.62,17.77,82.55,12.4
25,5,-103.40,-106.90,148.73,-134.0
26,5,-29.84,-0.96,29.86,-178.2
27,5,29.22,-50.25,58.13,-59.8
28,5,-79.44,5.67,79.64,175.9
29,5,73.42,-53.44,90.81,-36.1
30,5,18.02,21.48,28.04,50.0
31,5,41.93,1.06,41.94,1.4
32,5,-28.95,69.93,75.68,112.5
33,5,40.29,0.07,40.29,0.1
34,5,53.04,-38.87,65.76,-36.2
35,5,11.29,-12.95,17.18,-48.9
36,5,11.39,-67.97,68.92,-80.5
37,5,13.23,19.41,23.49,55.7
38,5,-43.41,28.48,51.92,146.7
39,5,-7.57,122.35,122.58,93.5
40,5,-7.77,-32.28,33.20,-103.5
41,5,19.09,-14.63,24.05,-37.5
42,5,49.96,-30.05,58.31,-31.0
43,5,-52.90,9.34,53.72,170.0
44,5,-6.17,17.85,18.88,109.1
45,5,74.20,-3.86,74.30,-3.0
46,5,-37.02,53.19,64.80,124.8
47,5,-40.92,-31.90,51.88,-142.1
48,5,10.33,48.35,49.44,77.9
49,5,42.44,26.06,49.81,31.6
50,5,0.80,-1.36,1.58,-59.7
51,5,66.67,-16.41,68.66,-13.8
52,5,43.05,120.77,128.21,70.4
53,5,42.28,-41.32,59.12,-44.3
54,5,27.88,14.50,31.43,27.5
55,5,116.54,-37.83,122.52,-18.0
56,5,-10.13,89.03,89.60,96.5
57,5,-100.06,44.14,109.37,156.2
58,5,80.31,-34.07,87.23,-23.0
59,5,-22.81,25.51,34.22,131.8
60,5,5.45,12.80,13.91,66.9
61,5,65.52,-25.90,70.46,-21.6
62,5,-80.08,37.86,88.58,154.7
63,5,-62.56,19.43,65.50,162.7
0,6,-80.02,10.84,80.75,172.3
1,6,-39.65,-2.02,39.70,-177.1
2,6,22.05,21.65,30.90,44.5
3,6,26.30,11.60,28.75,23.8
4,6,13.93,3.13,14.28,12.7
5,6,-70.50,-31.82,77.34,-155.7
6,6,-115.33,84.99,143.26,143.6
7,6,2.92,-52.14,52.22,-86.8
8,6,-23.35,21.86,31.98,136.9
9,6,23.24,-15.43,27.89,-33.6
10,6,35.40,88.69,95.49,68.2
11,6,7.24,-44.33,44.92,-80.7
12,6,38.35,-35.78,52.44,-43.0
13,6,11.81,-47.35,48.80,-76.0
14,6,26.85,17.46,32.03,33.0
15,6,-34.91,-67.22,75.74,-117.4
16,6,-8.68,-22.36,23.98,-111.2
17,6,10.09,-105.93,106.41,-84.6
18,6,41.22,13.81,43.47,18.5
19,6,-19.56,-23.15,30.31,-130.2
20,6,26.10,-72.51,77.07,-70.2
21,6,-13.33,56.17,57.73,103.4
22,6,-6.01,-63.53,63.81,-95.4
23,6,41.26,41.63,58.61,45.3
24,6,-99.95,-33.38,105.38,-161.5
25,6,-65.20,81.60,104.45,128.6
26,6,-74.56,38.82,84.06,152.5
27,6,-117.19,-49.26,127.12,-157.2
28,6,-34.47,-44.94,56.64,-127.5
29,6,36.88,30.94,48.14,40.0
30,6,-14.86,-12.72,19.56,-139.4
31,6,9.26,-8.33,12.46,-42.0
32,6,53.84,63.48,83.23,49.7
33,6,65.77,-37.84,75.88,-29.9
34,6,-4.05,3.90,5.62,136.0
35,6,67.13,46.82,81.84,34.9
36,6,4.10,39.32,39.53,84.0
37,6,-42.32,-9.33,43.33,-167.6
38,6,-30.10,-15.97,34.07,-152.1
39,6,-74.33,-88.61,115.66,-130.0
40,6,-44.62,-54.59,70.51,-129.3
41,6,-18.03,14.06,22.86,142.1
42,6,40.14,-8.79,41.09,-12.3
43,6,86.08,1.85,86.10,1.2
44,6,-68.99,50.11,85.26,144.0
45,6,19.83,-61.15,64.29,-72.0
46,6,-51.78,-13.50,53.51,-165.4
47,6,24.03,7.87,25.29,18.1
48,6,-6.23,-36.64,37.17,-99.6
49,6,-91.20,70.29,115.14,142.4
50,6,46.76,44.29,64.41,43.4
51,6,-29.91,13.52,32.82,155.7
52,6,-26.37,88.87,92.70,106.5
53,6,-53.19,-75.65,92.48,-125.1
54,6,-32.44,-0.97,32.46,-178.3
55,6,21.63,17.84,28.04,39.5
56,6,-9.26,-46.11,47.03,-101.4
57,6,16.61,14.74,22.20,41.6
58,6,18.24,-55.56,58.48,-71.8
59,6,66.15,34.35,74.54,27.4
60,6,-17.05,52.76,55.44,107.9
61,6,-73.77,13.52,75.00,169.6
62,6,53.42,-92.71,107.00,-60.1
63,6,-16.53,-48.39,51.14,-108.9
0,7,55.79,28.31,62.56,26.9
1,7,19.25,1.16,19.29,3.5
2,7,-6.45,-134.56,134.71,-92.7
3,7,17.58,62.34,64.77,74.3
4,7,97.73,7.09,97.98,4.2
5,7,104.07,-40.61,111.71,-21.3
6,7,3.73,50.19,50.33,85.7
7,7,8.32,-33.32,34.34,-76.0
8,7,54.18,-33.72,63.81,-31.9
9,7,-41.87,18.78,45.89,155.8
10,7,17.11,90.09,91.70,79.2
11,7,-0.80,82.42,82.42,90.6
12,7,16.22,19.44,25.31,50.2
13,7,-41.14,24.79,48.03,148.9
14,7,-78.95,41.47,89.18,152.3
15,7,-103.15,-60.74,119.70,-149.5
16,7,-55.42,34.52,65.29,148.1
17,7,-22.55,-34.21,40.97,-123.4
18,7,-14.36,18.56,23.47,127.7
19,7,97.05,-8.63,97.43,-5.1
20,7,55.37,27.85,61.98,26.7
21,7,-48.17,8.70,48.95,169.8
22,7,17.19,-150.91,151.89,-83.5
23,7,-20.68,11.58,23.70,150.8
24,7,-14.68,34.57,37.56,113.0
25,7,8.69,24.55,26.04,70.5
26,7,30.28,-3.14,30.44,-5.9
27,7,-17.74,83.79,85.65,102.0
28,7,52.35,16.91,55.01,17.9
29,7,-58.00,22.86,62.34,158.5
30,7,-0.62,52.82,52.82,90.7
31,7,128.93,18.33,130.23,8.1
32,7,10.20,-45.10,46.24,-77.3
33,7,70.72,-122.51,141.46,-60.0
34,7,3.68,-24.83,25.10,-81.6
35,7,28.19,36.70,46.28,52.5
36,7,-3.61,-19.34,19.67,-100.6
37,7,-9.20,38.07,39.17,103.6
38,7,-39.55,5.19,39.89,172.5
39,7,21.06,61.94,65.42,71.2
40,7,-42.91,-17.39,46.30,-157.9
41,7,33.08,20.64,38.99,32.0
42,7,54.20,22.50,58.69,22.5
43,7,18.39,72.29,74.59,75.7
44,7,-14.12,-88.07,89.20,-99.1
45,7,22.99,-25.56,34.38,-48.0
46,7,-15.05,39.93,42.68,110.6
47,7,47.23,74.98,88.62,57.8
48,7,-91.07,9.89,91.60,173.8
49,7,-16.25,-16.53,23.18,-134.5
50,7,-99.01,36.18,105.41,159.9
51,7,-74.23,41.98,85.28,150.5
52,7,68.69,-19.22,71.33,-15.6
53,7,45.22,15.47,47.79,18.9
54,7,-35.56,58.17,68.18,121.4
55,7,-74.76,93.82,119.97,128.5
56,7,-147.91,36.57,152.37,166.1
57,7,-26.91,1.77,26.97,176.2
58,7,121.24,-3.04,121.28,-1.4
59,7,21.92,27.61,35.25,51.6
60,7,-27.84,-5.98,28.47,-167.9
61,7,23.36,9.34,25.16,21.8
62,7,-77.96,-53.00,94.27,-145.8
63,7,-14.80,64.78,66.45,102.9
0,8,5.07,-56.90,57.13,-84.9
1,8,-4.18,-21.46,21.86,-101.0
2,8,39.70,5.09,40.03,7.3
3,8,17.44,99.83,101.34,80.1
4,8,33.68,-20.76,39.57,-31.7
5,8,-34.09,-32.81,47.32,-136.1
6,8,45.29,-26.91,52.68,-30.7
7,8,81.92,83.75,117.15,45.6
8,8,-47.96,-139.61,147.62,-109.0
9,8,-43.76,-48.89,65.62,-131.8
10,8,67.48,138.07,153.68,64.0
11,8,-8.82,31.34,32.56,105.7
12,8,70.98,-53.20,88.70,-36.9
13,8,-21.32,0.33,21.32,179.1
14,8,73.55,6.12,73.80,4.8
15,8,7.33,45.37,45.96,80.8
16,8,13.60,95.33,96.30,81.9
17,8,78.82,23.04,82.12,16.3
18,8,-17.64,-23.16,29.12,-127.3
19,8,-46.77,43.33,63.76,137.2
20,8,-22.32,-30.86,38.09,-125.9
21,8,22.52,-47.61,52.67,-64.7
22,8,-78.58,-84.01,115.04,-133.1
23,8,31.38,-74.43,80.78,-67.1
24,8,-27.63,-41.24,49.64,-123.8
25,8,56.52,-55.62,79.30,-44.5
26,8,-120.74,18.54,122.16,171.3
27,8,-40.49,-57.53,70.35,-125.1
28,8,-85.60,-155.23,177.27,-118.9
29,8,-42.67,-50.78,66.32,-130.0
30,8,10.97,-22.73,25.24,-64.2
31,8,-10.40,-29.98,31.74,-109.1
32,8,-14.11,75.69,76.99,100.6
33,8,-9.37,-31.54,32.90,-106.5
34,8,8.81,42.63,43.53,78.3
35,8,-51.70,-2.90,51.78,-176.8
36,8,34.18,-4.56,34.48,-7.6
37,8,32.10,-44.65,55.00,-54.3
38,8,18.38,-6.21,19.40,-18.7
39,8,27.13,-41.84,49.87,-57.0
40,8,14.32,4.68,15.07,18.1
41,8,101.46,-15.79,102.68,-8.8
42,8,-4.45,-51.29,51.48,-95.0
43,8,-15.25,45.54,48.02,108.5
44,8,-37.39,17.37,41.23,155.1
45,8,-51.17,-26.23,57.50,-152.9
46,8,-61.64,3.66,61.75,176.6
47,8,-43.75,-7.55,44.40,-170.2
48,8,-2.78,-46.44,46.53,-93.4
49,8,17.51,0.78,17.53,2.5
50,8,3.36,-33.47,33.64,-84.3
51,8,-37.49,-49.35,61.97,-127.2
52,8,45.76,-82.93,94.72,-61.1
53,8,37.66,-19.44,42.38,-27.3
54,8,-7.36,27.11,28.09,105.2
55,8,-32.10,-35.74,48.04,-131.9
56,8,27.89,125.23,128.30,77.4
57,8,9.79,43.65,44.74,77.4
58,8,-72.08,64.73,96.88,138.1
59,8,-3.14,39.39,39.51,94.6
60,8,13.31,92.36,93.32,81.8
61,8,-44.82,-39.56,59.78,-138.6
62,8,9.62,-128.19,128.55,-85.7
63,8,-72.65,-22.41,76.03,-162.9
0,9,66.95,28.06,72.59,22.7
1,9,62.58,7.79,63.06,7.1
2,9,-12.39,14.06,18.74,131.4
3,9,18.48,66.44,68.96,74.5
4,9,-120.11,19.63,121.70,170.7
5,9,-57.34,40.64,70.28,144.7
6,9,-14.10,-46.08,48.19,-107.0
7,9,-52.91,-53.63,75.34,-134.6
8,9,36.53,82.14,89.89,66.0
9,9,100.78,6.81,101.01,3.9
10,9,-57.81,-29.02,64.69,-153.3
11,9,-40.77,-28.52,49.75,-145.0
12,9,12.94,-29.46,32.18,-66.3
13,9,81.75,-32.00,87.79,-21.4
14,9,-59.94,-60.24,84.98,-134.9
15,9,13.58,-70.65,71.95,-79.1
16,9,92.09,-4.96,92.22,-3.1
17,9,-81.72,-24.49,85.31,-163.3
18,9,-63.39,60.82,87.85,136.2
19,9,-20.75,20.33,29.05,135.6
20,9,-25.87,19.06,32.14,143.6
21,9,40.49,-31.36,51.21,-37.8
22,9,11.64,-0.36,11.65,-1.8
23,9,-89.49,23.51,92.52,165.3
24,9,24.74,40.93,47.82,58.8
25,9,-30.17,-0.03,30.17,-179.9
26,9,62.19,58.07,85.09,43.0
27,9,-33.11,3.88,33.33,173.3
28,9,-33.72,42.43,54.19,128.5
29,9,25.05,-22.47,33.64,-41.9
30,9,36.05,-89.40,96.39,-68.0
31,9,20.27,13.83,24.54,34.3
32,9,-86.41,35.85,93.56,157.5
33,9,24.81,27.54,37.06,48.0
34,9,-53.73,19.08,57.02,160.4
35,9,9.87,-20.21,22.50,-64.0
36,9,-72.91,-43.82,85.07,-149.0
37,9,20.79,23.47,31.35,48.5
38,9,-41.62,16.66,44.83,158.2
39,9,-65.16,-33.16,73.11,-153.0
40,9,34.95,50.01,61.01,55.1
41,9,11.64,-49.83,51.17,-76.8
42,9,-30.84,-34.98,46.63,-131.4
43,9,72.71,76.03,105.20,46.3
44,9,-21.61,37.75,43.50,119.8
45,9,2.27,-23.36,23.47,-84.4
46,9,14.31,9.21,17.02,32.8
47,9,-29.96,2.95,30.11,174.4
48,9,24.68,-141.65,143.78,-80.1
49,9,-25.49,-49.24,55.45,-117.4
50,9,-19.39,-5.99,20.29,-162.8
51,9,69.30,-20.82,72.36,-16.7
52,9,-50.92,9.80,51.86,169.1
53,9,-119.62,54.34,131.38,155.6
54,9,81.47,-17.84,83.40,-12.4
55,9,128.27,-54.31,139.30,-22.9
56,9,-19.57,15.10,24.72,142.3
57,9,-96.26,-17.23,97.79,-169.9
58,9,-15.04,-8.50,17.28,-150.5
59,9,-13.92,-15.12,20.55,-132.6
60,9,-9.19,111.70,112.07,94.7
61,9,-55.43,-112.33,125.26,-116.3
62,9,29.16,-19.63,35.15,-33.9
63,9,26.36,-0.33,26.36,-0.7
0,10,-74.52,-38.85,84.04,-152.5
1,10,35.23,45.28,57.37,52.1
2,10,102.98,41.07,110.87,21.7
3,10,9.05,-1.84,9.23,-11.5
4,10,-16.30,-12.80,20.73,-141.9
5,10,-6.40,-4.63,7.90,-144.1
6,10,31.61,-3.99,31.86,-7.2
7,10,-85.52,-2.33,85.55,-178.4
8,10,9.40,-7.40,11.96,-38.2
